age,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-19264,-16899,-14349,-15753,-13204,-17036,-14296,-13892,-14831,-21494,-9749,-11546,-11313,-12416,-12520,-10755,-11676,-12493,-14110,-22132,1042,-2125,-2502,-3177,-2791,-4656,-4648,-3351,-4071,-13229,1573,-2644,-2411,-2617,-2811,-2057,-2817,-5090,-3923,-46267,4984,-1353,-1671,-1703,-660,-3595,-5810,-2788,-1813,-4339,3570,2364,3273,567,1743,3144,2321,-828,-628,-1498,1816,-131,-692,-233,-2,456,680,5778,8295,2678,3626,3273,3676,2697
2,-5631,-3137,-5152,-6189,-5753,-5739,-4469,-3533,-5281,-6564,2672,-1695,-3788,-4735,-6371,-7385,-5576,-6742,-7731,-9324,1928,3754,478,-570,-1313,-1158,-3315,-3552,-2432,-3346,615,2942,-2341,-2409,-2549,-2981,-1972,-3029,-5962,-29495,4245,3054,-730,-1175,-1185,-365,-1746,-3653,-2553,-1555,3893,4466,2840,2891,1280,3276,2612,1296,-899,-751,2756,1286,-1021,-1331,-607,-165,401,1568,6786,1914,3613,3320,3266,2877
3,-4713,-1469,-2240,-4481,-4455,-5673,-2995,-4522,-3290,-4443,-3130,4413,-1073,-3667,-3567,-4996,-5993,-6353,-6573,-6273,1833,2212,4081,674,-366,-1124,-967,-3129,-3449,-2193,-1197,607,2723,-2068,-2097,-2254,-2623,-1735,-2677,-27078,2614,2690,3353,-936,-1050,-1343,-38,-1474,-3516,-2494,2716,4381,4502,2908,2321,2653,3047,1896,902,-929,2575,1558,-549,-1091,-1548,-456,136,883,6925,1067,3268,3334,2798,3238
4,-3678,-1708,-298,-1541,-3246,-5324,-3224,-1766,-3113,-3615,-1697,-2283,3646,-1274,-2734,-3539,-4501,-5654,-4460,-5274,1800,1983,2434,4184,784,-279,-1051,-884,-3101,-3208,212,-1085,587,2479,-1814,-1892,-2031,-2311,-1527,-23896,2674,1829,2919,4418,-1034,-1474,-1071,-42,-1546,-3142,3694,3217,4822,4586,2014,3946,2127,1706,1027,405,2398,1547,-387,-726,-1120,-1217,-404,823,8779,514,2736,3049,2741,3259
5,-3704,-1559,-2190,-810,-2741,6830,-3256,-2982,-2207,-4282,-1961,-2686,-2976,4330,-838,-2698,-3301,-5218,-6966,-4811,2109,1861,2080,2422,4209,872,-228,-991,-869,-3139,316,211,-942,539,2237,-1629,-1651,-1780,-2090,-20743,1825,1918,2002,4017,6516,-1189,-961,-925,-157,-1324,3917,4275,3623,4957,3768,4144,3209,1284,1165,875,2435,1127,-150,-633,-859,-968,-234,904,9549,-1791,2387,3066,2945,3085
6,-3561,-1526,-2238,-1784,-1026,-4580,-13691,-2968,-3521,-3051,-2957,-2851,-1881,-2385,4711,123,-2482,-3046,-5211,-4991,1571,2107,1988,2097,2497,4273,889,-186,-1000,-862,-616,282,200,-866,513,2111,-1526,-1558,-1684,-18817,2327,1254,1957,2611,5636,6911,-729,-878,-1067,57,3551,4566,5002,3815,4094,5733,3360,2085,541,1105,2131,1138,-443,-499,-791,-739,-107,173,1887,-2499,2633,2224,2425,2986
7,-3656,-148,-2114,-2074,-1458,-3561,3532,-2281,-3553,-3247,-2611,-1316,-2561,-1941,-2428,4522,-700,-2536,-3239,-4401,1438,1627,2212,1986,2124,2478,4279,950,-246,-928,-110,-560,299,194,-808,480,1935,-1385,-1414,-16683,1908,1720,1282,2466,4001,6111,6838,-658,-1023,-625,3320,3996,4827,4969,3062,6191,5147,2201,1687,856,1825,917,-415,-910,-932,-721,233,-136,3146,4560,2332,2346,2297,2867
8,-1929,-1306,-2512,-1725,-2315,-5318,2781,-1259,-2637,-3431,-2210,-3686,-1533,-2183,-2436,-2552,4530,-297,-2882,-3341,1533,1492,1634,2255,2002,2193,2541,4329,914,-107,94,-5,-525,347,252,-820,519,2063,-1463,-14666,1896,1519,1802,1668,3712,4429,5823,6404,-766,-666,3785,3518,4127,5379,4145,5272,5172,3926,1705,1430,1913,791,-357,-406,-858,-766,189,93,2586,2527,2139,2667,2415,2921
9,-3025,-232,-2461,-1066,-1988,-2369,1922,423,-348,-3023,-2613,-1912,-2759,-1589,-2338,-1371,-1713,4741,-895,-3042,1066,1593,1509,1682,2260,2016,2200,2552,4283,949,300,80,10,-433,319,207,-683,451,1786,-13511,1718,1382,1679,2376,2494,4104,4120,5798,6758,-399,3630,4046,4143,4819,4310,6106,4659,4449,3347,1790,2024,1121,-178,-293,-642,-576,328,455,3593,3200,2145,2657,2450,2800
10,-2254,-798,-571,-2294,-2080,-2983,-1719,-1662,783,-1350,-2252,-2622,-1966,-3016,-2498,-2359,-2366,-2835,4091,5,1384,1057,1670,1535,1718,2278,2056,2207,2552,4197,77,-143,-149,-126,-270,41,29,-311,147,-11174,1956,1350,1473,2145,3609,2863,3936,4111,5961,6330,3260,3787,5196,4663,3950,6174,5712,3701,3904,2741,2041,793,87,-409,-485,-410,398,-282,3046,2814,2109,2717,2463,2752
