age,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0.002307166505884104,0.0022659141143533262,0.002226639173329619,0.002189246892902339,0.0021536470269545027,0.0021197536553542356,0.002087484976586801,0.002056763110327056,0.0020275139094755247,0.00199966678120475,0.0019731545165837206,0.0019479131283694547,0.0019238816965739874,0.0019010022214342858,0.0018792194834299995,0.0018584809100114274,0.0018387364487158307,0.0018199384463660657,0.0018020415340597887,0.0017850025176718378,0.001768780273605346,0.0017533356495401467,0.0017386313699387695,0.001724631946082119,0.0017113035904175603,0.0016986141350128275,0.0016865329539188364,0.0016750308892540706,0.0016640801808321787,0.0016536543991628482,0.0016437283816643652,0.001634278171933801,0.0016252809619283532,0.001616715036918206,0.0016085597230781387,0.0016007953375913116,0.0015934031411448883,0.0015863652927027602,0.001579664806446297,0.0015732855107791258,0.0015672120092970632,0.0015614296436289434,0.0015559244580587118,0.0015506831658433477,0.0015456931171453775,0.00154094226850253,0.0015364191537609014,0.0015321128564014287,0.0015280129831929251,0.001524109639108049,0.001520393403441705,0.0015168553070742021,0.0015134868108243273,0.001510279784840059,0.0015072264889772098,0.0015043195541186122,0.0015015519643887918,0.001498917040221173,0.0014964084222369794,0.001494020055896892,0.0014917461768884494,0.0014895812972138978,0.0014875201919449352,0.0014855578866123642,0.0014836896452002344,0.0014819109587154836,0.001480217534305505,0.0014786052848973612,0.0014770703193336537,0.0014756089329812272,0.0014742175987900556,0.001472892958780718,0.0014716318159399319,0.0014704311265045715,0.0014692879926155617,0.0014681996553239027,0.0014671634879319614
1,0.00017099235079385912,0.00016831845873058768,0.00016575020990931965,0.00016328343045380223,0.0001609141113941504,0.0001586384021515275,0.0001564526042802536,0.00015435316545714525,0.00015233667370834325,0.0001503998518642254,0.00014853955223340212,0.00014675275148714394,0.00014503654574591179,0.00014338814586002346,0.00014180487287677093,0.00014028415368662843,0.00013882351684148042,0.00013742058853806005,0.00013607308876008675,0.00013477882757281684,0.00013353570156400063,0.00013234169042544938,0.00013119485366966225,0.00013009332747618025,0.0001290353216625324,0.00012801911677486308,0.00012704306129350217,0.0001261055689489413,0.0001252051161438567,0.00012434023947698096,0.00012350953336480943,0.0001227116477572676,0.0001219452859436309,0.00012120920244513352,0.00012050220099083429,0.00011982313257345876,0.00011917089358204917,0.00011854442400839562,0.00011794270572432715,0.0001173647608270658,0.0001168096500499564,0.00011627647123598395,0.00011576435787160419,0.00011527247767849919,0.00011480003126097165,0.00011434625080678127,0.00011391039883930736,0.00011349176701901516,0.00011308967499227268,0.00011270346928565205,0.00011233252224391475,0.00011197623100995605,0.00011163401654505242,0.0001113053226878161,0.00011098961525033164,0.00011068638115000186,0.00011039512757569419,0.00011011538118683263,0.0001098466873441316,0.00010958860937072433,0.00010934072784248193,0.00010910263990637282,0.00010887395862575214,0.00010865431235151848,0.0001084433441181163,0.00010824071106340069,0.00010804608387142391,0.00010785914623723628,0.00010767959435283227,0.00010750713641340711,0.00010734149214311993,0.00010718239233959445,0.00010702957843641518,0.00010688280208290991,0.00010674182474053405,0.0001066064172952015,0.00010647635968493254
2,0.00012688840032038429,0.00012493958144069427,0.0001230651969382114,0.00012126240382092233,0.00011952846768378525,0.00011786075856129265,0.00011625674693844466,0.00011471399991407871,0.0001132301775107453,0.00011180302912552054,0.00011043039011638169,0.00010911017851896395,0.00010784039188871965,0.00010661910426369024,0.00010544446324328188,0.00010431468717862041,0.00010322806247021526,0.00010218294096884022,0.00010117773747568612,0.00010021092733799419,9.928104413652325e-05,9.838667746134359e-05,9.752647077258182e-05,9.669911934287703e-05,9.590336827842079e-05,9.513801061558435e-05,9.440188549024415e-05,9.369387637702913e-05,9.301290939581973e-05,9.2357951682928e-05,9.17280098244926e-05,9.112212834970701e-05,9.053938828159958e-05,8.997890574316576e-05,8.943983061673853e-05,8.89213452545637e-05,8.84226632386244e-05,8.79430281878327e-05,8.748171261078197e-05,8.703801680231597e-05,8.661126778224408e-05,8.620081827459166e-05,8.580604572583749e-05,8.542635136064952e-05,8.506115927368561e-05,8.470991555608398e-05,8.437208745531573e-05,8.404716256712707e-05,8.373464805834484e-05,8.343406991936682e-05,8.314497224520267e-05,8.28669165439755e-05,8.259948107183439e-05,8.234226019327062e-05,8.209486376586549e-05,8.185691654853785e-05,8.162805763239332e-05,8.140793989331201e-05,8.119622946544442e-05,8.099260523481708e-05,8.079675835227933e-05,8.060839176505356e-05,8.04272197661771e-05,8.025296756115338e-05,8.008537085115438e-05,7.992417543214284e-05,7.97691368093056e-05,7.962001982621337e-05,7.94765983081452e-05,7.93386547190353e-05,7.920597983152313e-05,7.907837240960559e-05,7.895563890341024e-05,7.883759315562658e-05,7.872405611914998e-05,7.861485558551008e-05,7.8509825923672e-05
3,9.669711809175586e-05,9.523219430087674e-05,9.382169376934237e-05,9.246359462326733e-05,9.115595010323065e-05,8.98968857737057e-05,8.868459683615958e-05,8.751734554197777e-05,8.63934587014965e-05,8.531132528557911e-05,8.426939411629593e-05,8.32661716433957e-05,8.230021980338683e-05,8.137015395815202e-05,8.047464091014738e-05,7.961239699133679e-05,7.878218622312726e-05,7.798281854466129e-05,7.721314810693144e-05,7.647207163026862e-05,7.57585268228539e-05,7.507149085798115e-05,7.440997890789264e-05,7.377304273208226e-05,7.31597693180472e-05,7.256927957253429e-05,7.200072706140917e-05,7.145329679634037e-05,7.092620406655805e-05,7.041869331401616e-05,6.993003705034126e-05,6.945953481401886e-05,6.900651216632017e-05,6.857031972453289e-05,6.815033223110651e-05,6.774594765738083e-05,6.735658634061085e-05,6.698169015305343e-05,6.662072170192164e-05,6.627316355906247e-05,6.593851751925193e-05,6.561630388604635e-05,6.530606078416378e-05,6.500734349741165e-05,6.471972383121098e-05,6.444278949880293e-05,6.417614353025934e-05,6.391940370344801e-05,6.367220199613885e-05,6.343418405846406e-05,6.3205008704978e-05,6.298434742558642e-05,6.277188391464578e-05,6.256731361755642e-05,6.237034329420096e-05,6.218069059860064e-05,6.199808367418824e-05,6.18222607641166e-05,6.165296983604516e-05,6.148996822086535e-05,6.133302226484806e-05,6.11819069947141e-05,6.103640579514724e-05,6.0896310098288716e-05,6.076141908476646e-05,6.0631539395831904e-05,6.050648485619079e-05,6.0386076207131535e-05,6.02701408495677e-05,6.015851259662686e-05,6.005103143543089e-05,5.99475432977266e-05,5.984789983903736e-05,5.9751958226019634e-05,5.9659580931719185e-05,5.957063553843408e-05,5.9484994547901176e-05
4,7.749468407284272e-05,7.632807578081659e-05,7.520405216038863e-05,7.412105874441976e-05,7.307759780844204e-05,7.207222629938574e-05,7.110355383990757e-05,7.017024080557311e-05,6.927099647222175e-05,6.840457723096411e-05,6.756978486833221e-05,6.676546490921254e-05,6.599050502026707e-05,6.524383347163092e-05,6.452441765476724e-05,6.38312626544202e-05,6.316340987270025e-05,6.251993570339019e-05,6.189995025464713e-05,6.130259611832559e-05,6.072704718422785e-05,6.017250749763396e-05,5.963821015853894e-05,5.912341626106752e-05,5.8627413871606846e-05,5.814951704423731e-05,5.7689064872105046e-05,5.724542057342212e-05,5.681797061082866e-05,5.640612384290343e-05,5.600931070664424e-05,5.56269824297927e-05,5.525861027190903e-05,5.4903684793152304e-05,5.4561715149750076e-05,5.4232228415187655e-05,5.39147689261739e-05,5.360889765248318e-05,5.331419158979814e-05,5.3030243174717246e-05,5.275665972111469e-05,5.249306287707595e-05,5.2239088101656686e-05,5.199438416074064e-05,5.1758612641301555e-05,5.1531447483394576e-05,5.13125745292327e-05,5.110169108872199e-05,5.089850552085732e-05,5.070273683039713e-05,5.051411427926203e-05,5.033237701211728e-05,5.01572736956238e-05,4.9988562170856534e-05,4.982600911841126e-05,4.966938973573596e-05,4.9518487426240004e-05,4.9373093499752594e-05,4.923300688391449e-05,4.909803384610566e-05,4.89679877255226e-05,4.884268867503634e-05,4.872196341247273e-05,4.8605644980972385e-05,4.8493572518097605e-05,4.838559103336814e-05,4.828155119391697e-05,4.818130911797094e-05,4.808472617586932e-05,4.799166879834622e-05,4.790200829181125e-05,4.781562066037259e-05,4.773238643435731e-05,4.765219050509066e-05,4.757492196570693e-05,4.750047395777065e-05,4.742874352349714e-05
5,6.98707390500487e-05,6.880030140325319e-05,6.776966773712705e-05,6.677735794969339e-05,6.582194697623107e-05,6.490206274272644e-05,6.40163841954273e-05,6.316363940366401e-05,6.234260373322028e-05,6.155209808762482e-05,6.079098721484045e-05,6.00581780769199e-05,5.9352618280282735e-05,5.867329456436498e-05,5.801923134646648e-05,5.738948932070814e-05,5.678316410908631e-05,5.6199384962688566e-05,5.563731351120229e-05,5.509614255892467e-05,5.457509492554167e-05,5.407342233001265e-05,5.359040431595727e-05,5.312534721700251e-05,5.267758316060128e-05,5.2246469108895596e-05,5.183138593524408e-05,5.143173753508872e-05,5.104694996988448e-05,5.0676470642860236e-05,5.031976750543043e-05,4.9976328293115224e-05,4.9645659789873096e-05,4.932728711978883e-05,4.902075306510057e-05,4.872561740958467e-05,4.844145630635789e-05,4.8167861669187006e-05,4.790444058643267e-05,4.7650814756785455e-05,4.7406619945984454e-05,4.717150546373671e-05,4.694513366008822e-05,4.6727179440521796e-05,4.651732979908594e-05,4.6315283368884536e-05,4.612074998928083e-05,4.5933450289195466e-05,4.57531152858992e-05,4.557948599872448e-05,4.541231307714093e-05,4.52513564426612e-05,4.509638494406175e-05,4.494717602542482e-05,4.4803515406523895e-05,4.466519677509392e-05,4.453202149054472e-05,4.4403798298691164e-05,4.428034305709158e-05,4.416147847059915e-05,4.4047033836746834e-05,4.393684480059995e-05,4.383075311872489e-05,4.372860643193401e-05,4.36302580464815e-05,4.3535566723395143e-05,4.344439647564183e-05,4.335661637283532e-05,4.3272100353206154e-05,4.319072704256302e-05,4.311237957998636e-05,4.3036945450003374e-05,4.296431632100349e-05,4.289438788966258e-05,4.282705973115182e-05,4.276223515491686e-05,4.269982106581964e-05
6,6.712689099084364e-05,6.610780781700664e-05,6.512629610202231e-05,6.418097066501771e-05,6.327049739383296e-05,6.23935913622249e-05,6.154901501648555e-05,6.0735576428916006e-05,5.995212761569135e-05,5.919756291674208e-05,5.847081743536583e-05,5.777086553536856e-05,5.709671939361041e-05,5.644742760591875e-05,5.5822073844397e-05,5.521977556423592e-05,5.463968275820204e-05,5.4080976757045496e-05,5.354286907413431e-05,5.3024600292684605e-05,5.2525438994016244e-05,5.204468072532153e-05,5.1581647005490016e-05,5.113568436758653e-05,5.0706163436630995e-05,5.029247804137858e-05,4.989404435884669e-05,4.9510300090381356e-05,4.914070366810046e-05,4.878473349059361e-05,4.844188718680025e-05,4.8111680907026964e-05,4.7793648640103565e-05,4.7487341555714126e-05,4.719232737097496e-05,4.690818974036546e-05,4.6634527668151016e-05,4.637095494246853e-05,4.611709959027616e-05,4.587260335239771e-05,4.563712117792155e-05,4.541032073723906e-05,4.5191881953037255e-05,4.498149654858223e-05,4.4778867612656575e-05,4.458370918053664e-05,4.439574583041824e-05,4.421471229472136e-05,4.404035308572519e-05,4.387242213500525e-05,4.3710682446163674e-05,4.355490576036264e-05,4.340487223418885e-05,4.3260370129394455e-05,4.312119551407668e-05,4.2987151974874166e-05,4.2858050339774194e-05,4.2733708411139305e-05,4.261395070857673e-05,4.249860822128769e-05,4.238751816954699e-05,4.228052377497645e-05,4.217747403928782e-05,4.2078223531182956e-05,4.198263218111063e-05,4.189056508359012e-05,4.18018923068228e-05,4.171648870932288e-05,4.1634233763308645e-05,4.155501138460482e-05,4.147870976881626e-05,4.140522123354123e-05,4.1334442066402304e-05,4.126627237867984e-05,4.120061596434173e-05,4.11373801642705e-05,4.107647573549594e-05
7,6.43888144897241e-05,6.340760531739766e-05,6.246248476190558e-05,6.155212549335485e-05,6.0675249000700034e-05,5.983062379619759e-05,5.901706368590034e-05,5.8233426103765576e-05,5.7478610507029744e-05,5.67515568306053e-05,5.605124399832143e-05,5.537668848892116e-05,5.472694295480302e-05,5.4101094891562574e-05,5.3498265356468185e-05,5.2917607734072974e-05,5.2358306547223975e-05,5.181957631180538e-05,5.130066043360177e-05,5.08008301457346e-05,5.031938348518116e-05,4.985564430693518e-05,4.940896133442644e-05,4.8978707244867364e-05,4.856427778823787e-05,4.81650909386761e-05,4.7780586077079235e-05,4.7410223203768045e-05,4.705348218011089e-05,4.670986199803848e-05,4.6378880076427745e-05,4.606007158336313e-05,4.575298878332503e-05,4.54572004083896e-05,4.517229105255444e-05,4.4897860588341e-05,4.463352360485522e-05,4.437890886651453e-05,4.413365879168435e-05,4.3897428950489125e-05,4.3669887581093805e-05,4.3450715123777157e-05,4.323960377214095e-05,4.3036257040825574e-05,4.284038934912573e-05,4.265172561991952e-05,4.247000089334987e-05,4.2294959954714e-05,4.212635697603894e-05,4.196395517084053e-05,4.180752646157957e-05,4.165685115934896e-05,4.151171765534237e-05,4.1371922123669856e-05,4.123726823510456e-05,4.110756688135726e-05,4.098263590949204e-05,4.086229986611047e-05,4.0746389750944246e-05,4.0634742779510626e-05,4.052720215449775e-05,4.0423616845557735e-05,4.032384137719952e-05,4.022773562448258e-05,4.013516461622495e-05,4.0045998345449604e-05,3.9960111586802004e-05,3.98773837206835e-05,3.979769856385276e-05,3.972094420625759e-05,3.964701285386836e-05,3.957580067729166e-05,3.950720766595194e-05,3.9441137487636575e-05,3.9377497353206456e-05,3.931619788628281e-05,3.92571529977267e-05
8,6.322630335129392e-05,6.228253536803887e-05,6.137279805941333e-05,6.04958643369419e-05,5.965055135888038e-05,5.883571893475503e-05,5.8050267987427986e-05,5.729313907062136e-05,5.656331093989522e-05,5.5859799175154014e-05,5.5181654852823164e-05,5.4527963265904577e-05,5.389784269018467e-05,5.329044319493197e-05,5.270494549647661e-05,5.214055985313012e-05,5.159652499995143e-05,5.107210712192354e-05,5.056659886415583e-05,5.007931837777671e-05,4.960960840022956e-05,4.915683536873263e-05,4.872038856570422e-05,4.829967929500418e-05,4.789414008787785e-05,4.7503223937532535e-05,4.712640356131376e-05,4.6763170689486314e-05,4.641303537966058e-05,4.607552535593934e-05,4.5750185371894566e-05,4.543657659651277e-05,4.513427602228351e-05,4.4842875894630584e-05,4.456198316191699e-05,4.4291218945281894e-05,4.4030218027594334e-05,4.377862836083426e-05,4.353611059123711e-05,4.330233760155989e-05,4.30769940698533e-05,4.285977604414335e-05,4.26503905324493e-05,4.244855510758488e-05,4.225399752620968e-05,4.206645536161689e-05,4.188567564976235e-05,4.171141454805659e-05,4.154343700646089e-05,4.138151645044272e-05,4.122543447536335e-05,4.107498055188534e-05,4.092995174200246e-05,4.079015242530917e-05,4.065539403514049e-05,4.052549480422578e-05,4.040027951951428e-05,4.027957928584103e-05,4.0163231298114574e-05,4.005107862171927e-05,3.994296998083582e-05,3.9838759554394675e-05,3.973830677938712e-05,3.964147616126831e-05,3.954813709119715e-05,3.945816366986612e-05,3.937143453768342e-05,3.9287832711078556e-05,3.9207245424710386e-05,3.91295639793649e-05,3.905468359533771e-05,3.8982503271102934e-05,3.891292564707866e-05,3.884585687430457e-05,3.8781206487854844e-05,3.871888728481563e-05,3.8658815206662444e-05
9,6.335243008267008e-05,6.243683285208599e-05,6.155309225241188e-05,6.0700099886964556e-05,5.987678592381807e-05,5.9082117754008334e-05,5.831509869642324e-05,5.7574766747756746e-05,5.686019337595325e-05,5.617048235563222e-05,5.5504768644034674e-05,5.486221729607662e-05,5.4242022417151455e-05,5.364340615237019e-05,5.306561771096677e-05,5.250793242464794e-05,5.1969650838708004e-05,5.145009783476477e-05,5.0948621784018385e-05,5.046459372997298e-05,4.999740659959221e-05,4.954647444190136e-05,4.911123169308267e-05,4.86911324671387e-05,4.82856498712359e-05,4.78942753448712e-05,4.751651802202952e-05,4.7151904115534104e-05,4.679997632281858e-05,4.646029325237288e-05,4.613242887014494e-05,4.581597196520524e-05,4.551052563400128e-05,4.521570678255668e-05,4.493114564599146e-05,4.465648532475867e-05,4.439138133701692e-05,4.4135501186578374e-05,4.388852394588816e-05,4.3650139853513445e-05,4.3420049925637966e-05,4.319796558107313e-05,4.2983608279316224e-05,4.27767091712025e-05,4.257700876171151e-05,4.2384256584505514e-05,4.2198210887792436e-05,4.2018638331118015e-05,4.184531369270758e-05,4.167801958699095e-05,4.151654619195496e-05,4.136069098598236e-05,4.121025849384743e-05,4.106506004154872e-05,4.0924913519672e-05,4.078964315498708e-05,4.065907928999098e-05,4.053305817012159e-05,4.041142173837533e-05,4.029401743707017e-05,4.0180698016506146e-05,4.0071321350283456e-05,3.996575025704595e-05,3.986385232842671e-05,3.9765499762980324e-05,3.9670569205892874e-05,3.957894159426892e-05,3.949050200780181e-05,3.9405139524639305e-05,3.9322747082264135e-05,3.92432213432153e-05,3.916646256548099e-05,3.9092374477401106e-05,3.902086415692243e-05,3.8951841915054796e-05,3.8885221183382114e-05,3.88209184054875e-05
