AGE,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,817477,818381,819104,842382,842375,845988,848197,844586,875120,879979,889998,912475,945973,1002465,985291,968049,932544,916506,921690,886675,856311,872739,867836,867931,825679,790995,743536,708474,671652,642387,604733,626927,605776,590856,583077,556438,554688,571595,561801,569367,510808,570454,548535,532848,522979,531568,532078,526625,531499,533572,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,380630,370444,358173
1,838469,798213,801482,804755,826629,829171,828952,833901,830694,860289,858485,880249,900929,934660,990049,972771,957294,920868,904013,907580,864543,857353,870614,865334,864754,822888,786339,738888,705123,667581,629158,606306,624283,603365,588239,580266,554381,551871,566505,557878,523100,515792,569101,546864,531145,522319,527973,526268,523837,529686,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,397193,384306,373141
2,851858,832838,795076,796330,798566,820876,823432,824483,830368,825413,853725,861157,878554,897141,929925,983678,965386,951718,914126,896282,898256,866471,861107,871092,864764,863441,821730,783024,735336,702691,664235,629773,609248,621942,600956,585690,577285,552409,548842,560543,528383,527345,518846,568371,545689,529960,521954,526227,522615,521284,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,407572,400459,387183
3,907767,847145,831369,792836,791849,794111,815203,820437,819961,827078,820970,850595,865570,877481,893474,926358,978682,959393,945365,907553,890009,900089,868683,865188,871766,864398,862317,820763,779895,731887,700498,663038,630380,611971,619874,598859,583436,574662,550674,546165,533465,530997,530035,522199,567435,544639,528617,521916,524753,519099,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,414581,410370,403697
4,901277,904089,845437,831071,791295,788603,788787,811979,818671,816848,823463,819273,848312,869216,876207,890740,922819,974181,953739,940905,902279,891809,902072,871117,869372,872550,864119,861266,819879,776794,728679,700710,661953,630967,614450,618060,596967,581405,572351,549147,522269,536139,532826,532954,526617,566401,543165,527546,521874,523207,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431500,417322,413629
5,903140,897573,902530,843247,830261,788554,795433,785531,808997,816464,812566,821502,816587,845336,873546,875369,888042,919518,968963,946773,936094,904388,893670,904152,873539,873581,873422,863891,860275,819010,773655,728995,700921,661011,631506,616687,616431,595316,579625,570261,528404,524094,538057,534828,536971,533133,565212,542204,526621,521717,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450440,434445,420407
6,724744,899579,896047,900292,841463,829235,783974,781742,782563,805476,813413,809609,818651,814706,842951,878257,875492,885560,916472,963752,941782,937665,906495,895658,906249,876036,877854,874311,863705,859275,818148,773039,729277,701121,660145,632019,618798,614905,593758,577941,551444,530731,525348,540014,537439,542607,540044,564483,541326,525554,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469364,452865,437431
7,734092,721088,899431,893933,898218,840005,825674,787506,779461,779010,802229,810802,808293,816090,812765,840523,882779,874792,883024,913233,959351,943220,939292,908707,897644,908373,878514,882133,875261,863459,858347,818038,772479,729576,701315,659337,632499,620733,613520,592344,561258,553352,532451,526630,542480,541440,548718,546882,563825,540303,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483663,471661,455732
8,763117,732163,719782,896919,892208,895903,834687,828455,786247,776824,775579,800019,807116,806760,813907,810329,837971,887309,874495,880142,909892,960884,944712,940926,910962,899646,910566,881055,886462,876175,863352,858441,818033,771954,729923,701567,658517,633018,622796,612057,577678,563154,554871,534253,528298,546192,545869,554541,553286,563059,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495818,486078,474582
9,769588,760092,731931,717321,895853,890220,893534,836609,828878,785899,773801,772966,798107,804357,805171,811569,808958,836258,892050,873600,877100,910958,962477,946221,942608,913222,901662,912766,883607,890745,877124,863652,858521,818043,771521,730242,701774,657834,633469,624582,598546,579396,564536,556550,536629,530792,550296,549989,560339,560044,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510387,498268,488878
