age,year,migr double  & fert ↑ 2 in 2100,migr double  & fert eq. to last,migr double  & fert ↓ 0 in 2100,migr average & fert ↑ 2 in 2100,migr average & fert eq. to last,migr average & fert ↓ 0 in 2100,migr zero    & fert ↑ 2 in 2100,migr zero    & fert eq. to last,migr zero    & fert ↓ 0 in 2100
0,2002,523007,523007,523007,523007,523007,523007,523007,523007,523007
1,2002,529233,529233,529233,529233,529233,529233,529233,529233,529233
2,2002,528131,528131,528131,528131,528131,528131,528131,528131,528131
3,2002,518790,518790,518790,518790,518790,518790,518790,518790,518790
4,2002,515957,515957,515957,515957,515957,515957,515957,515957,515957
5,2002,521883,521883,521883,521883,521883,521883,521883,521883,521883
6,2002,521774,521774,521774,521774,521774,521774,521774,521774,521774
7,2002,524929,524929,524929,524929,524929,524929,524929,524929,524929
8,2002,539637,539637,539637,539637,539637,539637,539637,539637,539637
9,2002,562660,562660,562660,562660,562660,562660,562660,562660,562660
10,2002,566374,566374,566374,566374,566374,566374,566374,566374,566374
11,2002,571769,571769,571769,571769,571769,571769,571769,571769,571769
12,2002,562281,562281,562281,562281,562281,562281,562281,562281,562281
13,2002,565951,565951,565951,565951,565951,565951,565951,565951,565951
14,2002,544761,544761,544761,544761,544761,544761,544761,544761,544761
15,2002,559012,559012,559012,559012,559012,559012,559012,559012,559012
16,2002,578356,578356,578356,578356,578356,578356,578356,578356,578356
17,2002,586101,586101,586101,586101,586101,586101,586101,586101,586101
18,2002,601777,601777,601777,601777,601777,601777,601777,601777,601777
19,2002,626198,626198,626198,626198,626198,626198,626198,626198,626198
20,2002,635651,635651,635651,635651,635651,635651,635651,635651,635651
21,2002,650257,650257,650257,650257,650257,650257,650257,650257,650257
22,2002,672028,672028,672028,672028,672028,672028,672028,672028,672028
23,2002,708394,708394,708394,708394,708394,708394,708394,708394,708394
24,2002,736842,736842,736842,736842,736842,736842,736842,736842,736842
25,2002,779198,779198,779198,779198,779198,779198,779198,779198,779198
26,2002,828619,828619,828619,828619,828619,828619,828619,828619,828619
27,2002,865010,865010,865010,865010,865010,865010,865010,865010,865010
28,2002,869634,869634,869634,869634,869634,869634,869634,869634,869634
29,2002,883668,883668,883668,883668,883668,883668,883668,883668,883668
30,2002,900924,900924,900924,900924,900924,900924,900924,900924,900924
